Dégustation,Nom,Couleur,Région,Appellation,Millésime,Pays
1,Château Sociando-Mallet,Rouge,Bordeaux,Haut-Médoc,2000,France
1,Château La Pointe,Rouge,Bordeaux,Pomerol,2000,France
1,Meursault-Charmes 1er Cru - Domaine des Comtes Lafon,Blanc,Bourgogne,Meursault-Charmes,2000,France
1,Échezeaux Grand Cru - Frédéric Magnien,Rouge,Bourgogne,Échezeaux,2000,France
1,Grand Millésime - Gosset,Blanc effervescent,Champagne,Champagne,2000,France
1,LBV Port - Jose Maria Da Fonseca,Rouge fortifié,Duriense,Porto,2000,Portugal
2,Pavillon Blanc du Château Margaux,Blanc,Bordeaux,Bordeaux,1996,France
2,Château de Fieuzal,Blanc,Bordeaux,Pessac-Léognan,1996,France
2,Château Léoville Las Cases,Rouge,Bordeaux,Saint-Julien,1996,France
2,Château Haut-Bailly,Rouge,Bordeaux,Pessac-Léognan,1996,France
2,Hospices de Nuits - Les Terres Blanches,Rouge,Bourgogne,Nuits-Saint-Georges,1996,France
2,Côteau de Noiré,Rouge,Loire,Chinon,1996,France
3,Egly-Ouriet Blanc de Noirs,Blanc effervescent,Champagne,Champagne,N.M,France
3,Château Mouton Rothschild,Rouge,Bordeaux,Pauillac,1992,France
3,Château Haut-Brion,Rouge,Bordeaux,Pessac-Léognan,1991,France
3,La Landonne - E. Guigual,Rouge,Rhône,Côte-Rôtie,1994,France
3,Château Pontet-Canet,Rouge,Bordeaux,Pauillac,1990,France
3,Barberac - M. Chapoutier,Rouge,Rhône,Châteauneuf-Du-Pape,1993,France
3,Le Haut-Lieu - Huet,Blanc liquoreux,Loire,Vouvray,1989,France
4,Domaine de Trévallon,Rouge,Provence,Vin de Pays des Bouches du Rhône,1999,France
4,La Grande Année,Blanc effervescent,Champagne,Champagne,1999,France
4,Mazis-Chambertin Grand Cru - Maison Champy,Rouge,Bourgogne,Mazis-Chambertin,1999,France
4,Château Gruaud-Larose,Rouge,Bordeaux,Saint-Julien,1999,France
4,Clos des Lambrays,Rouge,Bourgogne,Morey-Saint-Denis,1999,France
4,Montus - Cuvée prestige,Rouge,Sud-Ouest,Madiran,1999,France
4,Marojallia,Rouge,Bordeaux,Margaux,1999,France
5,Château Masburel,Blanc,Sud-Ouest,Montravel,2001,France
5,Aile d'Argent - Château Mouton Rothschild,Blanc,Bordeaux,Bordeaux,2001,France
5,Domaine de Trévallon,Rouge,Provence,Vin de Pays des Bouches du Rhône,2001,France
5,Château Pavie,Rouge,Bordeaux,Saint-Émilion-Grand-Cru,2001,France
5,Les Grandes Places - Domaine Clusel-Roch,Rouge,Rhône,Côte-Rôtie,2001,France
5,Chambolle-Musigny 1er Cru Les Amoureuses - Domaine Amiot-Servelle,Rouge,Bourgogne,Chambolle-Musigny,2001,France
5,Domaine du Clos des Fées Vieilles Vignes,Rouge,Roussillon,Côtes du Roussillon Villages,2001,France
6,Clos Häuserer - Riesling - Domaine Zind Humbrecht,Blanc,Alsace,Alsace,2004,France
6,C... du Prieur,Rouge,Languedoc-Roussillon,Coteaux-du-Languedoc,2003,France
6,"Crozes Hermitage ""Cuvée Albéric Bouvet"" - Gilles Robin",Rouge,Rhône,Crozes-Hermitage,2002,France
6,Château Trotanoy,Rouge,Bordeaux,Pomerol,1997,France
6,Château La Mission Haut-Brion,Rouge,Bordeaux,Pessac-Léognan,1999,France
6,Muscat Vendanges Tardives Altenbourg - Albert Mann,Blanc liquoreux,Alsace,Alsace,2001,France
7,Château Simone,Rosé,Provence,Palette,2009,France
7,Krug,Blanc effervescent,Champagne,Champagne,1988,France
7,Montrachet Grand Cru - Domaines du Château de Beaune - Bouchard Père et Fils,Blanc,Bourgogne,Montrachet,1986,France
7,Château Sociando-Mallet,Rouge,Bordeaux,Haut-Médoc,1983,France
7,Château Lynch-Bages,Rouge,Bordeaux,Pauillac,1983,France
7,Château Latour,Rouge,Bordeaux,Pauillac,1985,France
7,Château Léoville Poyferré,Rouge,Bordeaux,Saint-Julien,1983,France
7,Château Labégorce Zédé,Rouge,Bordeaux,Margaux,1989,France
8,Nuits Saint Georges 1er cru Clos de l'Arlot - Domaine de l'Arlot,Blanc,Bourgogne,Nuits-Saint-Georges,2004,France
8,Château Rayas,Blanc,Rhône,Châteauneuf-Du-Pape,2004,France
8,Château Montrose,Rouge,Bordeaux,Saint-Estèphe,2004,France
8,Château de Beaucastel,Rouge,Rhône,Châteauneuf-Du-Pape,2004,France
8,Lurumea - Domaine Bordatto,Rouge,Sud-Ouest,Irouléguy,2004,France
8,Domaine de l'A,Rouge,Bordeaux,Castillon-Côtes-de-Bordeaux,2004,France
8,Catena Zapata Malbec Argentino,Rouge,Mendoza,-,2004,Argentine
9,Anthologia - Château Tour Des Gendres - Famille De Conti,Blanc,Sud-Ouest,Bergerac sec,2001,France
9,Château Haut Bages Libéral,Rouge,Bordeaux,Pauillac,1981,France
9,Chambolle-Musigny - Confrérie des Chevaliers du Tastevin,Rouge,Bourgogne,Chambolle-Musigny,1967,France
